 ,Winter,Spring,Summer,Fall,Annual
0,0.0958815623751,0.0813120253435,0.104708952156,0.122653515675,0.0348894483008
1,0.11913571142,0.0964011411507,0.110837348424,0.138955271406,0.0600390628155
2,0.114188583637,0.150970419177,0.174032312788,0.0742460007012,0.104976758267
3,0.247766470712,0.248992159619,0.296047579611,0.134178874475,0.110916665137
4,0.280897933537,0.282979240455,0.069890691573,0.154345479244,0.0736923950588
5,0.376444126294,0.264846040695,0.613418264595,0.794613840583,0.296390502994
6,0.1273849635,0.222766174304,0.14894119543,0.134603281856,0.107084868495
7,0.11893366906,0.225947624787,0.245119929683,0.166648927712,0.149593223764
8,0.0469802355282,0.204533646248,0.2725940399,0.156210098713,0.0232056164853
9,0.119958484427,0.0960124286312,0.250436155839,0.247950285938,0.102533156751
10,0.0456459187831,0.0815545148496,0.0858840977044,0.182247688902,0.0459778788298
11,0.112750831473,0.116709392593,0.126951448605,0.077408295483,0.0953102192174
12,0.117141986591,0.127929253863,0.304937918841,0.135796760249,0.110773043303
13,0.2049892383,0.265836382117,0.166626152879,0.14806378911,0.205296079447
14,0.0749304654442,0.121076975979,0.240303504383,0.142228791659,0.059646953799
15,0.316772455561,0.314548317543,0.110519179234,0.139925821691,0.0895935819234
